,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: UCLA,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period ,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served ,Cost per recipe,Servings per recipe
Product Type: ,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
21-Nov,,,,,,,Drey (To go Location),963,,120.5,,241,,96.5,,193
21-Nov,,,,,,,Dinner ,1985,,53.75,,215,,43,,172
22-Nov,,,,,,,Breakfast,1006,,48.5,,194,,38.75,,155
22-Nov,,,,,,,Lunch ,1628,,43,,172,,30,,120
22-Nov,,,,,,,Drey (To go Location),,,,,,,,,
22-Nov,,,,,,,Dinner ,719,,120.25,,481,,96.25,,385
23-Nov,No Service,,,,,,Breakfast,,,,,,,,,
23-Nov,,,,,,,Lunch ,,,,,,,,,
23-Nov,,,,,,,Drey (To go Location),,,,,,,,,
23-Nov,,,,,,,Dinner ,,,,,,,,,
24-Nov,No Service,,,,,,Breakfast,,,,,,,,,
24-Nov,,,,,,,Lunch ,,,,,,,,,
24-Nov,,,,,,,Drey (To go Location),,,,,,,,,
24-Nov,,,,,,,Dinner ,,,,,,,,,
27-Nov,,,,,,,Breakfast,1563,,59.25,,237,,41.5,,166
27-Nov,,,,,,,Lunch ,2386,,78.5,,314,,55,,220
27-Nov,,,,,,,Drey (To go Location),1093,,136.5,,273,,95.5,,191
27-Nov,,,,,,,Dinner ,2988,,78,,312,,62.5,,250
28-Nov,,,,,,,Breakfast,1741,,64.75,,259,,45.25,,181
28-Nov,,,,,,,Lunch ,2277,,55.75,,223,,44.5,,178
28-Nov,,,,,,,Drey (To go Location),1163,,145.5,,291,,102,,204
28-Nov,,,,,,,Dinner ,2915,,96.25,,385,,67.5,,270
29-Nov,,,,,,,Breakfast,1778,,55.5,,222,,38.75,,155
29-Nov,,,,,,,Lunch ,2571,,57.25,,229,,40,,160
29-Nov,,,,,,,Drey (To go Location),1104,,138,,276,,96.5,,193
29-Nov,,,,,,,Dinner ,2880,,55,,220,,44,,176
30-Nov,,,,,,,Breakfast,1619,,70.25,,281,,56.25,,225
30-Nov,,,,,,,Lunch ,2447,,63.25,,253,,44.25,,177
30-Nov,,,,,,,Drey (To go Location),1126,,141,,282,,113,,226
30-Nov,,,,,,,Dinner ,2808,,73,,292,,51,,204
1-Dec,,,,,,,Breakfast,1447,,63.25,,253,,50.5,,202
1-Dec,,,,,,,Lunch ,2378,,80.5,,322,,64.5,,258
1-Dec,,,,,,,Drey (To go Location),1206,,151,,302,,121,,242
NA,,,,,,,Dinner ,4055,,61.25,,245,,43,,172
NA,,,,,,,Bakery,,Blueberry Muffin,,,,Cream Cake Mix,,,
NA,,,,,,,Bakery,,Pineapple Coconut Muffin,,,,Cream Cake Mix,,,
NA,,,,,,,Bakery,,Banana Walnut Muffin,,,,Cream Cake Mix,,,
NA,,,,,,,Bakery,,Lemon Muffin,,,,Cream Cake Mix,,,
NA,,,,,,,Bakery,,Cream Roulade,,,,Cream Cake Mix,,,
NA,,,,,,,Bakery,,Strawberry Cream Cake,,,,Cream Cake Mix,,,
NA,,,,,,,Bakery,,Mocha Muffin,,,,Chocolate Cake Mix,,,
NA,,,,,,,Bakery,,Chocolate Muffin,,,,Chocolate Cake Mix,,,
NA,,,,,,,Bakery,,Cappucino Muffin,,,,Chocolate Cake Mix,,,
NA,,,,,,,Bakery,,Double Chocolate Cake,,,,Chocolate Cake Mix,,,
NA,,,,,,,Bakery,,Chocolate Bread,,,,Chocolate Cake Mix,,,
NA,,,,,,,Bakery/Commissary,,Meatballs,,,,Hamburger Buns,,,
NA,,,,,,,Commissary,,Prosciutto Ends,,,,Panchetta Replacement for Clam Chowder,,,
NA,,,,,,,Commissary,,Rosemary Chicken Breast,,,,Turkish Chicken Salad,,,
NA,,,,,,,Commissary,,Teriyaki Chicken Marinate,,,,Teriyaki Sauce,,,
NA,,,,,,, Commissary,,Vegetable Trimmings,,,,Vegetable Stock,,,
