,VOLUME of PRODUCT,,,,,,TOTAL MEAL SWIPES,,UTILIZATION RECIPE,,,,DISPLACED RECIPE,,,
Site: BU,Total product purchased,Available Product Type (to Prepare for Service),Total available product to repurpose (after primary fabrication or preparation),Product Unable to Repurpose,Total available product left that cannot be repurposed (remaining product waste),,Meal Period Utilization Recipe Served,Meal swipes per period,Recipe Name,Volume of Repurposed Ingredient Used in Recipe,Cost per recipe,Servings per recipe,Displaced Recipe Name (Optional: if replacing something on the line),Volume that would have been served,Cost per recipe,Servings per recipe
Product Type:,(Volume in pounds),(Product Type),(Volume in pounds),(Product Type),(Volume in pounds),,,(when utilization recipe served),,(in pounds),(dollar/cents per recipe),(number of servings),,(of displaced recipe),(dollar/cents per recipe),(number of servings)
Nov 1,,broccoli stem,,,,,Lunch,2447,pineapple vin,5.25,6.53,128,pineapple vin,2,12.99,128
Nov 1,,cilantro,,,,,Dinner,1681,,,,,,,,
Nov 2,,pineapple,,,,,Breakfast,1091,pineapple water,1.5,0,16,cuccumber water,10,1.55,16
Nov 2,,broccoli stem,,,,,Lunch,2122,pineapple vin,5.25,6.53,128,pineapple vin,1.25,12.99,128
Nov 2,,cilantro,,,,,Dinner,1513,,,,,,,,
Nov 3,,pineapple,,,,,Breakfast,969,pineapple water,1.5,0,16,orange water,10,2.6,16
Nov 3,,broccoli stem,,,,,Lunch,1977,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
Nov 3,,cilantro,,,,,Dinner,938,,,,,,,,
Nov 6,,pineapple,,,,,Breakfast,1014,pineapple water,1.5,0,16,cuccumber water,10,1.55,16
Nov 6,,broccoli stem,,,,,Lunch,2396,pineapple vin,5.25,6.53,128,pineapple vin,1.5,12.99,128
Nov 6,,cilantro,,,,,Dinner,1708,,,,,,,,
Nov 7,,pineapple,,,,,Breakfast,1107,pineapple water,1.5,0,16,orange water,10,2.6,16
Nov 7,,broccoli stem,,,,,Lunch,2214,,5.25,6.53,128,pineapple vin,1.5,12.99,128
Nov 7,,cilantro,,,,,Dinner,1796,,,,,,,,
Nov 8,,pineapple,,,,,Breakfast,1011,pineapple water,1.5,0,16,lemon water,10,1.42,16
Nov 8,,broccoli stem,,,,,Lunch,2413,,5.25,6.53,128,pineapple vin,1.75,12.99,128
Nov 8,,cilantro,,,,,Dinner,1673,,,,,,,,
Nov 9,,pineapple,,,,,Breakfast,1114,pineapple water,1.5,0,16,lime water,10,1.44,16
Nov 9,,broccoli stem,,,,,Lunch,2202,,5.25,6.53,128,pineapple vin,1.25,12.99,128
Nov 9,,cilantro,,,,,Dinner,1534,,,,,,,,
Nov 10,,pineapple,,,,,Breakfast,1007,pineapple water,1.5,0,16,cuccumber water,10,1.55,16
Nov 10,,broccoli stem,,,,,Lunch,2115,,5.25,6.53,128,pineapple vin,1,12.99,128
Nov 10,,cilantro,,,,,Dinner,945,,,,,,,,
Nov 13,,pineapple,,,,,Breakfast,949,pineapple water,1.5,0,16,lime water,10,1.44,16
Nov 13,,broccoli stem,,,,,Lunch,2428,pineapple vin,5.25,6.53,128,pineapple vin,2,12.99,128
Nov 13,,cilantro,,,,,Dinner,1736,,,,,,,,
Nov14,,pineapple,,,,,Breakfast,1129,pineapple water,1.5,0,16,cuccumber water,10,1.55,16
Nov14,,broccoli stem,,,,,Lunch,2147,pineapple vin,5.25,6.53,128,pineapple vin,1.5,12.99,128
Nov14,,cilantro,,,,,Dinner,1652,,,,,,,,
Nov15,,pineapple,,,,,Breakfast,998,pineapple water,1.5,0,16,orange water,10,2.6,16
Nov15,,broccoli stem,,,,,Lunch,2299,pineapple vin,5.25,6.53,128,pineapple vin,1.25,12.99,128
Nov15,,cilantro,,,,,Dinner,1658,,,,,,,,
Nov 16,,pineapple,,,,,Breakfast,1099,pineapple water,1.5,0,16,lemon water,10,1.42,16
Nov 16,,broccoli stem,,,,,Lunch,2102,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
Nov 16,,cilantro,,,,,Dinner,1544,,,,,,,,
Nov 17,,pineapple,,,,,Breakfast,916,pineapple water,1.5,0,16,lime water,10,1.44,16
Nov 17,,broccoli stem,,,,,Lunch,2044,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
Nov 17,,cilantro,,,,,Dinner,855,,,,,,,,
Nov 20,,pineapple,,,,,Breakfast,799,pineapple water,1.5,0,16,lemon water,10,1.42,16
Nov 20,,broccoli stem,,,,,Lunch,2032,pineapple vin,5.25,6.53,128,pineapple vin,1,12.99,128
Nov 20,,cilantro,,,,,Dinner,1361,,,,,,,,
Nov 21,,pineapple,,,,,Breakfast,731,pineapple water,,0,16,lime water,10,1.44,16
Nov 21,,broccoli stem,,,,,Lunch,1331,pineapple vin,,6.53,128,pineapple vin,0.75,12.99,128
Nov 21,,cilantro,,,,,Dinner,613,,,,,,,,
Nov 22,,pineapple,,,,,Breakfast,0,,,,,,,,
Nov 22,,broccoli stem,,,,,Lunch,0,,,,,,,,
Nov 22,,cilantro,,,,,Dinner,0,,,,,,,,
