"","site","date","prod_vol_purch","prod_type","prod_vol_avail_upcyc","prod_type_unavail_upcyc","prod_vol_unavail_upcyc","meal_period","meal_swipes","recipe_served","prod_vol_in_recipe","recipe_cost","recipe_servings","displaced_recipe","displaced_recipe_vol","displaced_recipe_cost","displaced_recipe_servings","case_when(...)"
"43","boston university","Nov 10",NA,"pineapple",NA,"",NA,"Breakfast",1007,"pineapple water",1.5,0,16,"cuccumber water",10,1.55,16,NA
"44","boston university","Nov 10",NA,"broccoli stem",NA,"",NA,"Lunch",2115,"",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"45","boston university","Nov 10",NA,"cilantro",NA,"",NA,"Dinner",945,"",NA,NA,NA,"",NA,NA,NA,NA
"46","boston university","Nov 13",NA,"pineapple",NA,"",NA,"Breakfast",949,"pineapple water",1.5,0,16,"lime water",10,1.44,16,NA
"47","boston university","Nov 13",NA,"broccoli stem",NA,"",NA,"Lunch",2428,"pineapple vin",5.25,6.53,128,"pineapple vin",2,12.99,128,NA
"48","boston university","Nov 13",NA,"cilantro",NA,"",NA,"Dinner",1736,"",NA,NA,NA,"",NA,NA,NA,NA
"49","boston university","Nov14",NA,"pineapple",NA,"",NA,"Breakfast",1129,"pineapple water",1.5,0,16,"cuccumber water",10,1.55,16,NA
"50","boston university","Nov14",NA,"broccoli stem",NA,"",NA,"Lunch",2147,"pineapple vin",5.25,6.53,128,"pineapple vin",1.5,12.99,128,NA
"51","boston university","Nov14",NA,"cilantro",NA,"",NA,"Dinner",1652,"",NA,NA,NA,"",NA,NA,NA,NA
"52","boston university","Nov15",NA,"pineapple",NA,"",NA,"Breakfast",998,"pineapple water",1.5,0,16,"orange water",10,2.6,16,NA
"53","boston university","Nov15",NA,"broccoli stem",NA,"",NA,"Lunch",2299,"pineapple vin",5.25,6.53,128,"pineapple vin",1.25,12.99,128,NA
"54","boston university","Nov15",NA,"cilantro",NA,"",NA,"Dinner",1658,"",NA,NA,NA,"",NA,NA,NA,NA
"55","boston university","Nov 16",NA,"pineapple",NA,"",NA,"Breakfast",1099,"pineapple water",1.5,0,16,"lemon water",10,1.42,16,NA
"56","boston university","Nov 16",NA,"broccoli stem",NA,"",NA,"Lunch",2102,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"57","boston university","Nov 16",NA,"cilantro",NA,"",NA,"Dinner",1544,"",NA,NA,NA,"",NA,NA,NA,NA
"58","boston university","Nov 17",NA,"pineapple",NA,"",NA,"Breakfast",916,"pineapple water",1.5,0,16,"lime water",10,1.44,16,NA
"59","boston university","Nov 17",NA,"broccoli stem",NA,"",NA,"Lunch",2044,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
"60","boston university","Nov 17",NA,"cilantro",NA,"",NA,"Dinner",855,"",NA,NA,NA,"",NA,NA,NA,NA
"61","boston university","Nov 20",NA,"pineapple",NA,"",NA,"Breakfast",799,"pineapple water",1.5,0,16,"lemon water",10,1.42,16,NA
"62","boston university","Nov 20",NA,"broccoli stem",NA,"",NA,"Lunch",2032,"pineapple vin",5.25,6.53,128,"pineapple vin",1,12.99,128,NA
