"","site","date","prod_vol_purch","prod_type","prod_vol_avail_upcyc","prod_type_unavail_upcyc","prod_vol_unavail_upcyc","meal_period","meal_swipes","recipe_served","prod_vol_in_recipe","recipe_cost","recipe_servings","displaced_recipe","displaced_recipe_vol","displaced_recipe_cost","displaced_recipe_servings","case_when(...)"
"187","rutgers university","19-Dec",20,"Bread Ends",2,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"188","rutgers university","19-Dec",NA,"",NA,"",NA,"Lunch ",NA,"French Toast Bites",NA,0.17,NA,NA,NA,NA,NA,NA
"189","rutgers university","19-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"190","rutgers university","20-Dec",NA,"Bread Ends",NA,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"191","rutgers university","20-Dec",NA,"",NA,"",NA,"Lunch ",NA,"French Toast Bites",NA,0.17,NA,NA,NA,NA,NA,NA
"192","rutgers university","20-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"193","rutgers university","21-Dec",NA,"Bread Ends",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"194","rutgers university","21-Dec",NA,"",NA,"",NA,"Lunch ",NA,"French Toast Bites",NA,0.17,NA,NA,NA,NA,NA,NA
"195","rutgers university","21-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"196","rutgers university","22-Dec",NA,"CLOSED ",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"197","rutgers university","22-Dec",NA,"CLOSED ",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"198","rutgers university","",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"199","rutgers university","",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"200","rutgers university","",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"201","rutgers university","",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"202","rutgers university","",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"203","rutgers university","",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"204","rutgers university","",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"205","san jose state university","23-Oct",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"206","san jose state university","23-Oct",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"207","san jose state university","23-Oct",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"208","san jose state university","24-Oct",NA,"Yellow Pumpkin",NA,"Stem",NA,"Breakfast",750,"",NA,NA,NA,"",NA,NA,NA,NA
"209","san jose state university","24-Oct",NA,"",NA,"Slime",NA,"Lunch ",1500,"Pumpkin Chowder",NA,25.82,25,"N/A",NA,NA,NA,NA
"210","san jose state university","24-Oct",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"211","san jose state university","25-Oct",NA,"",NA,"Stem ",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"212","san jose state university","25-Oct",NA,"Figleaf Squash (from SJSU Garden)",NA,"Slime",NA,"Lunch ",NA,"Chilacayote Jam",NA,NA,NA,"",NA,NA,NA,NA
"213","san jose state university","25-Oct",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"214","san jose state university","26-Oct",NA,"Over Riped Watermelon",NA,"Rinds ",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"215","san jose state university","26-Oct",NA,"",NA,"",NA,"Lunch ",1500,"Watermelon Agua Fresca",NA,7,0.87,"",NA,NA,NA,NA
"216","san jose state university","26-Oct",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"217","san jose state university","27-Oct",NA,"Pumpkins",NA,"Stem ",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"218","san jose state university","27-Oct",NA,"",NA,"Slime",NA,"Lunch ",1500,"Mashed Pumpkin",NA,13.98,0.63,"",NA,NA,NA,NA
"219","san jose state university","27-Oct",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"220","san jose state university","30-Oct",NA,"Kabocha Squash",NA,"Seeds",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"221","san jose state university","30-Oct",NA,"",NA,"Slime",NA,"Lunch ",1500,"Candied/Roasted Kobocha Squash ",NA,11.41,0.24,"",NA,NA,NA,NA
"222","san jose state university","30-Oct",NA,"",NA,"Stem",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"223","san jose state university","31-Oct",NA,"Stewed Black Beans",NA,"N/A",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"224","san jose state university","31-Oct",NA,"",NA,"",NA,"Lunch ",1500,"Stewed Black Beans ",NA,11.61,0.13,"",NA,NA,NA,NA
"225","san jose state university","31-Oct",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"226","san jose state university","1-Nov",NA,"Chicken Tinga",NA,"N/A",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"227","san jose state university","1-Nov",NA,"",NA,"",NA,"Lunch ",1500,"Chicken Tinga",NA,12.38,0.59,"",NA,NA,NA,NA
"228","san jose state university","1-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"229","san jose state university","2-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"230","san jose state university","2-Nov",NA,"Vegan Sausages",NA,"N/A",NA,"Lunch ",1500,"Vegan Sausage bake",NA,24.08,0.73,"",NA,NA,NA,NA
"231","san jose state university","2-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"232","san jose state university","3-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"233","san jose state university","3-Nov",NA,"tomatos/ peppers",NA,"stems",NA,"Lunch ",1500,"Salsa",NA,5.96,0.05,"",NA,NA,NA,NA
"234","san jose state university","3-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"235","san jose state university","6-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"236","san jose state university","6-Nov",NA,"eggs (from the breakfast)",NA,"-",NA,"Lunch ",1500,"vegetable fried rice ",NA,3.98,0.33,"",NA,NA,NA,NA
"237","san jose state university","6-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"238","san jose state university","7-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"239","san jose state university","7-Nov",NA,"Marinara Sause",NA,"N/A",NA,"Lunch ",1500,"With vegetables/ vegetable bake",NA,16,0.32,"",NA,NA,NA,NA
"240","san jose state university","7-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"241","san jose state university","8-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"242","san jose state university","8-Nov",NA,"Kabucha Squash ",NA,"slime",NA,"Lunch ",1500,"candied/roasted squash",NA,11.41,0.24,"",NA,NA,NA,NA
"243","san jose state university","8-Nov",NA,"",NA,"seeds",NA,"Dinner ",1500,"From Holloween ",NA,NA,NA,"",NA,NA,NA,NA
"244","san jose state university","9-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"245","san jose state university","9-Nov",NA,"Bananas",NA,"10 lbs",NA,"Lunch ",1500,"banana bread ",NA,1.14,0.14,"",NA,NA,NA,NA
"246","san jose state university","9-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"247","san jose state university","10-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"248","san jose state university","10-Nov",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"249","san jose state university","10-Nov",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"250","san jose state university","13-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"251","san jose state university","13-Nov",NA,"Impossible Meatballs",NA,"-",NA,"Lunch ",1500,"Impossible Bolognese ",NA,13.33,1.11,"",NA,NA,NA,NA
"252","san jose state university","13-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"253","san jose state university","Nov14",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"254","san jose state university","Nov14",NA,"Rosemarry Fococcia ",NA,"-",NA,"Lunch ",1500,"Stuffing ",NA,11.94,0.18,"",NA,NA,NA,NA
"255","san jose state university","Nov14",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"256","san jose state university","Nov15",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"257","san jose state university","Nov15",NA,"Tofu (from ROOTED staition)",NA,"-",NA,"Lunch ",1500,"Drunken Noodles with Tofu",NA,13.91,1.39,"",NA,NA,NA,NA
"258","san jose state university","Nov15",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"259","san jose state university","16-Nov",NA,"",NA,"seeds",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"260","san jose state university","16-Nov",NA,"Pumpkin (from decorations)",NA,"slime",NA,"Lunch ",1500,"Pumpkin Pie",NA,13.2,0.55,"",NA,NA,NA,NA
"261","san jose state university","16-Nov",NA,"",NA,"skin",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"262","san jose state university","17-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"263","san jose state university","17-Nov",NA,"cilantro and mint",NA,"stems ",NA,"Lunch ",1500,"Chutney",NA,0.43,0.01,"",NA,NA,NA,NA
"264","san jose state university","17-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"265","san jose state university","20-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"266","san jose state university","20-Nov",NA,"Napa Cabbage ",NA,"stem ",NA,"Lunch ",1500,"Stir-fry Vegetables ",NA,6.59,0.66,"",NA,NA,NA,NA
"267","san jose state university","20-Nov",NA,"",NA,"",NA,"Dinner ",1500,"",NA,NA,NA,"",NA,NA,NA,NA
"268","san jose state university","21-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"269","san jose state university","21-Nov",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"270","san jose state university","21-Nov",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"271","san jose state university","22-Nov",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"272","san jose state university","22-Nov",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"273","san jose state university","22-Nov",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,"",NA,NA,NA,NA
"274","stanford university","Oct 23",225,"Protein (Chicken)",NA,"N/A",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"275","stanford university","Oct 23",NA,"",NA,"",NA,"Lunch ",NA,"",28.8,NA,250,NA,NA,NA,NA,NA
"276","stanford university","Oct 23",NA,"Vegtable Peels ",12.4,"N/A",NA,"Dinner ",NA,"Pho Broth/Sliced Meat",12.4,NA,NA,NA,NA,NA,NA,NA
"277","stanford university","Oct 24",225,"Protein (Chicken)",NA,"N/A",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"278","stanford university","Oct 24",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"279","stanford university","Oct 24",NA,"",NA,"",NA,"Dinner ",NA,"Pho Broth/Sliced Meat",37.4,NA,330,NA,NA,NA,NA,NA
"280","stanford university","Oct 25",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"281","stanford university","Oct 25",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"282","stanford university","Oct 25",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"283","stanford university","Oct 26",100,"Rice",86.5,"N/A",NA,"Breakfast",NA,"Lugaw ",86.5,NA,173,NA,NA,NA,NA,NA
"284","stanford university","Oct 26",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"285","stanford university","Oct 26",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"286","stanford university","Oct 27",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"287","stanford university","Oct 27",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"288","stanford university","Oct 27",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"289","stanford university","Oct 30",300,"Protein Beef ",134,"N/A",NA,"Breakfast",NA,"Beef Japanese Curry",134,NA,357,NA,NA,NA,NA,NA
"290","stanford university","Oct 30",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"291","stanford university","Oct 30",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"292","stanford university","Oct 31",100,"Rice",36.8,"N/A",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"293","stanford university","Oct 31",NA,"",NA,"",NA,"Lunch ",NA,"Lugaw",36.8,NA,73,NA,NA,NA,NA,NA
"294","stanford university","Oct 31",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"295","stanford university","Nov 1",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"296","stanford university","Nov 1",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"297","stanford university","Nov 1",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"298","stanford university","Nov 2",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"299","stanford university","Nov 2",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"300","stanford university","Nov 2",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"301","stanford university","Nov 3",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"302","stanford university","Nov 3",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"303","stanford university","Nov 3",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"304","stanford university","Nov 5",100,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"305","stanford university","Nov 5",NA,"Beans",36.6,"",NA,"Lunch ",NA,"Black Bean salad",36.6,NA,146,NA,NA,NA,NA,NA
"306","stanford university","Nov 5",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"307","stanford university","Nov 7",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"308","stanford university","Nov 7",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"309","stanford university","Nov 7",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"310","stanford university","Nov 8",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"311","stanford university","Nov 8",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"312","stanford university","Nov 8",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"313","stanford university","Nov 9",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"314","stanford university","Nov 9",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"315","stanford university","Nov 9",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"316","stanford university","Nov 10",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"317","stanford university","Nov 10",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"318","stanford university","Nov 10",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"319","stanford university","Nov 13",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"320","stanford university","Nov 13",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"321","stanford university","Nov 13",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"322","stanford university","Nov14",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"323","stanford university","Nov14",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"324","stanford university","Nov14",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"325","stanford university","Nov15",250,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"326","stanford university","Nov15",NA,"Pork",28.6,"",NA,"Lunch ",NA,"Pork Fried Rice",28.6,NA,76,NA,NA,NA,NA,NA
"327","stanford university","Nov15",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"328","stanford university","Nov 16",120,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"329","stanford university","Nov 16",NA,"rice ",56.7,"",NA,"Lunch ",NA,"Lugaw",56.7,NA,141,NA,NA,NA,NA,NA
"330","stanford university","Nov 16",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"331","stanford university","Nov 17",100,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"332","stanford university","Nov 17",NA,"Beans ",87.5,"",NA,"Lunch ",NA,"Black Bean salad",87.5,NA,262,NA,NA,NA,NA,NA
"333","stanford university","Nov 17",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"334","stanford university","Nov 20",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"335","stanford university","Nov 20",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"336","stanford university","Nov 20",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"337","stanford university","Nov 21",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"338","stanford university","Nov 21",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"339","stanford university","Nov 21",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"340","stanford university","Nov 22",NA,"",NA,"",NA,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"341","stanford university","Nov 22",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"342","stanford university","Nov 22",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"343","university of bristol","Oct 23",NA,"Broccoli",NA,"Woody stalk base",NA,"Breakfast",182,"Broccoli gratin",NA,NA,NA,NA,NA,NA,NA,NA
"344","university of bristol","Oct 23",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"345","university of bristol","Oct 23",NA,"",NA,"",NA,"Dinner ",276,"",NA,NA,NA,NA,NA,NA,NA,NA
"346","university of bristol","Oct 24",NA,"Carrots",NA,"Tops",NA,"Breakfast",179,"Slaw",NA,NA,NA,NA,NA,NA,NA,NA
"347","university of bristol","Oct 24",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"348","university of bristol","Oct 24",NA,"",NA,"",NA,"Dinner ",279,"",NA,NA,NA,NA,NA,NA,NA,NA
"349","university of bristol","Oct 25",NA,"Swede",NA,"Skin",NA,"Breakfast",173,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
"350","university of bristol","Oct 25",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"351","university of bristol","Oct 25",NA,"",NA,"",NA,"Dinner ",280,"",NA,NA,NA,NA,NA,NA,NA,NA
"352","university of bristol","Oct 26",NA,"Cauliflower",NA,"Woody stalk base",NA,"Breakfast",117,"Cauliflower gratin",NA,NA,NA,NA,NA,NA,NA,NA
"353","university of bristol","Oct 26",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"354","university of bristol","Oct 26",NA,"",NA,"",NA,"Dinner ",274,"",NA,NA,NA,NA,NA,NA,NA,NA
"355","university of bristol","Oct 27",NA,"Red cabbage",NA,"Root",NA,"Breakfast",137,"Slaw",NA,NA,NA,NA,NA,NA,NA,NA
"356","university of bristol","Oct 27",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"357","university of bristol","Oct 27",NA,"",NA,"",NA,"Dinner ",244,"",NA,NA,NA,NA,NA,NA,NA,NA
"358","university of bristol","Oct 30",NA,"peppers",NA,"Stalk, Pith and seeds",NA,"Breakfast",175,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
"359","university of bristol","Oct 30",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"360","university of bristol","Oct 30",NA,"",NA,"",NA,"Dinner ",249,"",NA,NA,NA,NA,NA,NA,NA,NA
"361","university of bristol","Oct 31",NA,"Broccoli",NA,"Woody stalk base",NA,"Breakfast",136,"Pickled broccoli",NA,NA,NA,NA,NA,NA,NA,NA
"362","university of bristol","Oct 31",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"363","university of bristol","Oct 31",NA,"",NA,"",NA,"Dinner ",245,"",NA,NA,NA,NA,NA,NA,NA,NA
"364","university of bristol","Nov 1",NA,"Swede",NA,"Skin",NA,"Breakfast",170,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
"365","university of bristol","Nov 1",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"366","university of bristol","Nov 1",NA,"",NA,"",NA,"Dinner ",251,"",NA,NA,NA,NA,NA,NA,NA,NA
"367","university of bristol","Nov 2",NA,"Carrots",NA,"Tops",NA,"Breakfast",129,"Stock",NA,NA,NA,NA,NA,NA,NA,NA
"368","university of bristol","Nov 2",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"369","university of bristol","Nov 2",NA,"",NA,"",NA,"Dinner ",233,"",NA,NA,NA,NA,NA,NA,NA,NA
"370","university of bristol","Nov 3",NA,"Squash",NA,"Stalk, slime, blossom end",NA,"Breakfast",157,"Roast squash gnudi",NA,NA,NA,NA,NA,NA,NA,NA
"371","university of bristol","Nov 3",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"372","university of bristol","Nov 3",NA,"",NA,"",NA,"Dinner ",237,"",NA,NA,NA,NA,NA,NA,NA,NA
"373","university of bristol","Nov 6",NA,"Broccoli",NA,"Woody stalk base",NA,"Breakfast",107,"Remoulade",NA,NA,NA,NA,NA,NA,NA,NA
"374","university of bristol","Nov 6",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"375","university of bristol","Nov 6",NA,"",NA,"",NA,"Dinner ",139,"",NA,NA,NA,NA,NA,NA,NA,NA
"376","university of bristol","Nov 7",NA,"Carrots",NA,"Tops",NA,"Breakfast",106,"slaw",NA,NA,NA,NA,NA,NA,NA,NA
"377","university of bristol","Nov 7",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"378","university of bristol","Nov 7",NA,"",NA,"",NA,"Dinner ",155,"",NA,NA,NA,NA,NA,NA,NA,NA
"379","university of bristol","Nov 8",NA,"Cauliflower",NA,"Woody stalk base",NA,"Breakfast",67,"Cauliflower bhaji",NA,NA,NA,NA,NA,NA,NA,NA
"380","university of bristol","Nov 8",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"381","university of bristol","Nov 8",NA,"",NA,"",NA,"Dinner ",98,"",NA,NA,NA,NA,NA,NA,NA,NA
"382","university of bristol","Nov 9",NA,"Broccoli",NA,"Woody stalk base",NA,"Breakfast",83,"Broccoli gratin",NA,NA,NA,NA,NA,NA,NA,NA
"383","university of bristol","Nov 9",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"384","university of bristol","Nov 9",NA,"",NA,"",NA,"Dinner ",102,"",NA,NA,NA,NA,NA,NA,NA,NA
"385","university of bristol","Nov 10",NA,"Sprouts",NA,"Woody stalk base",NA,"Breakfast",75,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
"386","university of bristol","Nov 10",NA,"",NA,"Damaged outer leaves",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"387","university of bristol","Nov 10",NA,"",NA,"",NA,"Dinner ",75,"",NA,NA,NA,NA,NA,NA,NA,NA
"388","university of bristol","Nov 13",NA,"Carrots",NA,"Tops",NA,"Breakfast",178,"Stock",NA,NA,NA,NA,NA,NA,NA,NA
"389","university of bristol","Nov 13",NA,"",NA,"",NA,"Lunch ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"390","university of bristol","Nov 13",NA,"",NA,"",NA,"Dinner ",281,"",NA,NA,NA,NA,NA,NA,NA,NA
